Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
ATF4,16466.02016,31945.72951,14918.37223,15052.31601,14719.012,16108.10296
MDK,16408.0204,29144.09351,23990.93653,14206.14534,24167.03856,8809.993806
CDC42,16391.38165,14192.10822,13761.41377,15853.80217,11961.61574,4694.61483
TUG1,16382.37329,9816.82011,14049.00104,16350.87717,13186.21713,12510.38182
NIPSNAP1,16327.62105,9897.24155,14796.4636,15183.17715,11360.54354,9491.310897
RPS23,16311.07027,31674.31418,19452.74228,11508.42414,32456.74949,24438.3414
AZIN1,16300.12436,21263.48353,16070.20453,16148.70702,13245.97245,20755.1649
TOP2B,16245.57414,12968.02581,17764.99819,17072.79297,11406.10369,16331.1885
TSC22D1,16198.5821,7166.222147,14186.76081,17390.21213,6886.62624,6535.117257
RGMB,16166.6495,5609.357001,11295.08191,10506.77668,2819.782793,1055.737063
DCAF7,16135.51599,9154.632194,12724.44525,15767.12404,8843.581643,7344.949688
LIN28B,16094.14253,10529.60501,14970.25481,14698.74839,10579.58196,10338.00406
RPLP1,16091.80436,32552.1564,16653.2823,10916.23226,33905.8986,28162.02875
KHSRP,16060.01001,24299.88338,18378.95014,14216.65736,26636.75811,17965.17415
FBXW11,16053.13,5774.887207,6793.90041,9230.993372,4141.889758,2412.296377
PAK2,16049.24883,8882.162267,9850.95735,12681.30185,7124.627418,4871.105584
DYNC1I2,16039.97556,8420.207314,12270.82893,13942.41386,6843.010881,3955.191223
CXADR,16017.53597,6810.720769,12441.60412,14481.2442,9466.936826,17412.68677
NAP1L1,15990.98739,37662.34904,23899.57874,13910.46441,42500.11313,68986.68646
LARP1,15930.14858,15595.56788,13023.2613,15692.48978,15723.8891,22463.77788
RPL10,15920.29871,23787.5467,16531.68262,11185.18234,24563.51865,22070.16052
TMEM167A,15882.48642,9251.985665,12964.45073,14606.08498,8771.60238,11481.96991
RPS11,15866.72952,28432.98438,20261.0371,11619.92009,35470.17921,23147.61397
ATP9A,15858.74145,3218.788588,11790.1268,17850.001,1448.530461,861.595279
SPAG9,15829.63233,6784.451108,13643.54896,16126.47904,7027.292453,4286.405387
COX4I1,15820.52535,11037.86355,10662.25715,11031.18333,8608.988126,7335.588623
NTRK1,15783.63815,2128.910098,6442.920785,5864.463044,5.42100965,4.701460247
HNRNPA3,15753.45568,22958.58221,17980.62832,15456.4141,21637.65398,27668.78396
RAB6A,15734.34435,7887.59545,10872.33659,15435.41843,5710.503946,4656.670579
SLC25A3,15717.66042,18865.08052,13619.13257,13272.31915,17020.80347,20389.58546
TGFBR1,15656.15849,7258.290776,13086.43416,15234.86163,10116.473,5737.590998
SALL2,15629.57832,15538.60972,14946.64271,11949.63145,22440.946,20290.80987
SF3B1,15597.29552,15066.60821,17294.15359,19286.8597,17786.43287,24800.90897
KHDRBS1,15572.31457,19605.76903,17456.07549,13694.40543,19381.7856,19399.4366
DDX3X,15542.54795,19185.0862,18506.27134,15974.18803,18894.75325,27925.02596
SIPA1L2,15538.75372,8150.619557,7559.604253,8087.695048,5544.90237,1066.747675
ATP8A2,15536.94335,1765.41684,6514.978461,12705.77569,157.1514616,708.0091233
ABI2,15512.42568,10806.00932,11920.71312,13892.99897,11066.99024,11053.89482
PALM,15502.78194,4550.03782,11271.60075,12808.42611,3269.039127,360.7633954
ZC3H7B,15482.91587,15445.30992,10484.84664,12421.26535,10680.06177,3771.202279
FUS,15477.55018,21911.58919,17142.15574,15366.38212,19916.46663,15678.88177
FADS1,15474.24822,19264.19083,14920.88139,13224.19983,16303.74658,14536.85047
ARF3,15447.17586,14934.45011,12578.82894,15700.77109,14536.29973,11134.40636
SOGA1,15442.77387,6748.040923,11733.07828,15739.61469,6038.995133,2728.038305
PCDHGB6,15422.77729,4141.552562,12118.17886,15876.09268,3275.814691,413.2445042
SLC22A17,15391.12963,4485.317826,11251.65299,18761.01833,5147.08955,1458.925463
MAPK8,15371.07582,4514.18871,11645.66497,15546.83248,2813.878674,2856.918652
CNR1,15367.52314,1745.152217,14779.96778,17923.36316,8.993733626,33.04057273
STMN4,15332.80506,3034.427283,11879.38588,19698.35198,537.976737,8.594555014
NISCH,15331.36602,8483.215719,11709.56506,14221.34041,9138.388242,4668.965855
RPL37A,15313.50164,20015.33126,12843.33399,9942.650109,19167.51171,16484.52439
ZFTA,15309.47594,6476.416202,12056.71872,12106.13583,4686.866254,2108.397024
ELAVL4,15307.54181,2714.948459,14209.97713,25137.9969,12.98423637,16.92315613
TPM4,15264.34652,59287.19652,19693.52098,16707.67435,45579.76119,27077.41663
FYN,15219.37445,6702.651467,10965.97344,10918.85725,4540.689358,2215.304056
GABARAP,15216.27295,7300.776254,12624.87392,14199.44025,5982.393154,3466.094144
RPL19,15211.37055,35133.94407,19509.77006,11280.84698,37615.62125,32187.27526
KLF7,15195.65739,5265.942609,8544.893007,13522.80814,2631.500166,1072.531833
TSPYL4,15154.54599,5883.641182,11533.84807,14965.10509,3880.025525,1303.400459
YWHAH,15146.23069,11299.89352,10074.17513,12656.56638,9002.974766,10173.85967
DOCK3,15136.43808,2439.938363,3667.427156,6063.458988,1080.284042,870.2051787
RPL18A,15114.7907,23237.17693,14270.03779,10027.45304,26423.99658,20394.26156
NKAIN1,15092.95038,4534.521827,19047.80692,18172.33712,1903.519363,3654.637856
MTCH1,15085.94903,13721.59388,12460.68049,14906.29851,11611.8226,9624.750654
TAOK1,15082.10912,8983.957382,12802.3447,15182.52675,9371.649601,13033.87791
RPL26,15081.57702,26946.11255,17016.21455,8788.090373,25760.94335,19729.82288
CRIM1,14959.26589,15851.43876,13935.36945,12932.58183,5412.163663,1334.863564
NMNAT2,14940.75146,1969.9496,7645.818786,13786.45941,927.9708896,1073.373139
BAZ2A,14929.46963,9341.120913,13968.4329,17290.18987,11703.02431,8963.566653
NBEA,14908.4932,2922.527072,7698.379353,10932.60196,1685.041285,5467.249173
PNMA1,14907.82244,5761.654149,11497.65781,13190.39774,5503.752701,2496.092484
HK1,14894.3652,7777.763755,11200.82013,14705.53935,7945.37091,13961.24315
CDH2,14887.73143,30864.93374,12843.33741,10947.62812,16531.05616,2271.919133
UBR4,14886.19043,17818.86664,14018.75117,18865.01789,21357.15774,18641.70054
TXNIP,14827.75673,5659.430056,5723.925071,9779.210105,2082.182064,1697.49212
UNC13B,14826.41581,5327.388906,9713.840822,12566.16575,3635.28236,4039.649911
SMARCC1,14824.16762,18585.08346,13796.87328,12005.71375,20071.2107,32415.08534
ACTR2,14774.99998,14796.85798,14546.74939,16550.02806,14120.62102,11473.61795
TRIM28,14717.08287,36069.87663,19604.88451,13411.32394,37173.18154,52931.57101
SRP9,14714.97567,14708.85436,16582.77551,15578.97903,11504.31865,14965.27455
IDH1,14668.26874,8139.19874,12896.3251,13977.46972,7171.333265,19782.21868
SV2A,14662.77353,4784.23458,16859.82944,19694.61865,3640.060124,3256.754225
