Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
MYL6,38847.64037,50479.01844,40338.62518,43328.64294,30546.33353,11883.33221
RPS4X,38759.13522,48090.59976,36419.50258,29441.69202,53798.32673,47841.86594
PFN2,38590.99196,22742.97074,25804.84499,23226.30159,21387.65648,8141.861527
AP2B1,38550.46121,22633.6369,27093.72611,37880.917,19182.02873,8546.236539
FTL,38479.48999,123253.0532,32824.80816,32687.77188,71483.53283,34182.84503
ELAVL3,38221.25321,5584.058435,35043.24732,40572.34684,134.4961968,83.4678273
APC2,38083.23969,6284.160413,27759.4691,36749.10292,999.3885573,139.8379937
PTMS,38075.63564,36958.78741,39567.43811,33528.42076,33291.47405,8267.371883
LIN28A,37756.54484,64609.55652,48366.8357,38036.8328,86075.54937,58523.92805
MORF4L2,37663.97217,28251.88924,33340.75925,38038.90794,26401.03586,25704.48716
HNRNPK,37658.39302,39828.96961,39335.26325,35052.46465,34529.62094,36755.19874
SOX11,37480.48338,22679.66671,43165.34785,39109.6711,24945.64319,7037.287664
RIMS3,37375.11806,8155.012137,28976.95917,38684.45739,2867.821024,1899.286491
CNTN1,37181.88553,4617.949933,21183.72954,36493.21214,8.288748704,686.0592101
HMGCR,37068.83429,24663.0131,26134.50778,37061.93076,29044.28959,23746.39382
DPYSL2,37009.06071,11133.45491,26072.40613,36759.38599,5997.956986,13635.45646
H3-3B,36966.83781,23566.35191,32871.14971,34815.99027,23313.17952,18366.38368
EBF3,36731.61354,4690.590858,29346.97014,31530.45036,49.38206519,24.68104963
MAPRE2,36681.41168,7138.176497,14519.91036,20465.42319,3188.820972,3205.474017
RPL4,36656.41963,77723.78618,42711.71374,26538.20396,91409.84524,93325.63296
TTC3,36564.90565,13437.77054,22966.35457,33404.32726,12522.38068,4468.563953
RPS2,36296.8975,100088.1971,48286.31125,25568.90749,95312.19547,65625.33593
SMARCA4,36051.40428,24635.8089,34049.68968,34206.27327,27013.91143,23674.18596
EEF1G,35895.25884,54900.94059,32895.62821,20086.90616,66675.34014,46700.33456
CPE,35792.17131,13154.83456,21576.96229,24761.88361,4267.676385,885.1795905
SCRN1,35258.67099,19811.20528,25363.69782,42827.36333,12906.00432,4574.233448
MAP1A,34982.82261,8254.781946,20479.11239,27868.85216,4533.838163,382.3886907
PCBP4,34606.61355,10117.53343,37036.06989,40691.20862,3301.550451,800.0390475
CADM1,34363.86946,12868.3728,11184.79581,17040.83707,7824.859799,1119.758548
FSCN1,33813.79611,36804.30697,33289.60899,32700.74619,22034.4031,9461.423227
VAT1L,33415.12934,13611.37851,5737.899354,12266.35966,13614.62857,3276.882744
PTMA,33379.07781,43271.58593,36604.83947,29552.36255,53123.08392,59003.99925
CELF3,32468.69762,5070.090705,29529.98173,33267.81058,361.6674697,31.10460061
NORAD,32400.52061,14621.32147,22968.62755,33451.20984,15834.53247,8586.45792
TTYH3,32326.70682,22198.48642,25729.70172,25956.76069,27314.80086,10480.98949
SREBF2,32320.88279,19331.01378,25136.00898,30668.13329,18618.51227,13120.43874
KIF1B,32259.91538,10777.24487,23318.36663,34699.75559,7417.158978,9728.770044
ADD2,32226.05439,6322.389738,18532.83399,22802.74511,3269.247812,10969.58883
FGF13,32054.66218,7581.637135,19148.0781,14800.13305,2924.439385,3249.775936
RPL13A,31779.3858,63899.61005,42328.96261,21802.56784,86090.26751,69614.63178
DPYSL5,31475.62071,14818.98089,27290.23107,34660.63671,8878.15906,840.6018924
KIDINS220,31448.70122,7867.630172,22281.12713,33090.1738,4229.339931,3463.567046
ONECUT3,31336.26769,4261.389848,19890.02003,25466.56251,4.146261532,5.507199779
TPT1,31295.2104,53354.59366,37610.78614,25586.68714,54737.52225,53552.40338
SDK1,31287.48057,4993.076442,5885.51492,9260.736579,764.2379169,801.1759432
GNG2,31223.21106,4954.116715,19152.67675,29287.10487,1564.983628,927.5789785
CFL1,31204.32749,31121.42581,26685.93541,29943.33715,23025.6655,20445.07395
SPTBN1,31181.51423,21809.03639,18878.23369,32351.83505,14704.55563,19734.01795
TP53I11,31063.84503,14737.938,31428.36316,25454.11025,16234.9813,2854.717745
USP11,30828.24064,15442.90207,23108.00465,26221.76082,15030.49467,10730.35493
TAGLN3,30795.40832,5575.849036,29144.98998,27471.63476,631.2984827,63.44148877
CRMP1,30778.85833,7997.078284,26806.9257,34435.27952,3382.461039,3115.483782
PTPRS,30770.74793,15049.65739,35864.46091,32291.46293,20420.33559,6242.470034
CALM1,30653.95513,20674.90595,32256.20644,44851.29547,20859.01381,16897.7705
RPLP0,30604.93167,72432.53058,38687.6964,20802.83918,67866.73703,72997.2875
FADS2,30563.09728,38326.85759,32231.62022,33493.59549,33439.19616,19721.49117
PKM,30393.0491,80096.01962,39817.52453,27156.41061,99190.78155,65622.36527
RPL13,30178.93141,50046.36694,30436.26409,18807.87672,58267.61313,40237.80889
TUBB2A,30178.09521,14593.47463,19740.38037,30028.19665,10663.7363,3421.514643
SYT1,29926.95826,6797.53305,17439.62112,23713.38219,3057.627191,1838.399092
CDK16,29754.10973,19585.48314,21101.72243,25259.78088,18055.23189,9282.524646
EIF1,29364.29252,23775.68574,21355.33668,26785.19976,15955.14801,11446.9185
CLTC,29250.5928,21399.74903,24764.47934,31319.28301,21144.57691,31002.49449
MDGA1,29206.21875,4159.969252,33418.9902,44741.36583,825.7816705,36.73622064
MAP4K4,29159.24343,20835.98113,30037.27983,37487.99043,16321.55562,10857.78137
RPL8,29125.43873,54967.84969,27129.21952,18130.34269,49900.70535,54308.48209
ATP5F1A,29121.96957,20801.289,22100.5087,23798.05114,18054.42191,37513.1957
PCBP2,29084.19045,24986.21328,24840.90246,23952.24808,27087.38924,22298.74658
CBX5,28853.82706,28740.50122,31333.7113,40300.80388,29164.3936,36461.13161
ATXN7L3B,28766.89719,10828.30517,21160.34231,26175.05953,10271.05324,4718.013626
SDC3,28635.91601,9808.688561,20395.78315,28017.18597,6627.965139,2003.036911
IGFBPL1,28525.01328,7753.538787,47518.71045,52027.91438,7454.246319,3117.921633
MIAT,28490.78866,6183.983276,47198.80421,29782.94461,8049.750758,4761.287438
HUWE1,28345.89098,20857.65147,23376.78629,31801.93258,21845.97782,27301.47906
PRRC2B,28218.12618,19467.51508,22343.74219,29152.93334,21527.88702,7248.837424
HNRNPA2B1,28160.22994,41442.7374,36305.3078,29143.67336,35626.83116,63986.37261
SEZ6L2,28062.64792,6361.768963,20250.02818,25353.8254,4331.621355,2917.316052
RPS3A,27907.97687,45247.67374,28048.47883,16581.34493,48299.1409,33537.86494
DYNLL2,27707.62528,12670.16837,18548.2625,27335.65797,12428.34204,3015.306306
EIF4A2,27659.40379,16293.16219,21539.08783,22333.41928,24967.94428,22223.51614
CAPRIN1,27651.25901,21788.18375,22693.58028,22585.76575,21127.2126,24939.01894
G3BP2,27545.97259,18894.45087,21908.47239,25325.88409,18888.30756,21731.95906
DHCR24,27505.80156,22530.44731,21314.75879,27463.29445,20716.24673,39956.5879
RTN3,27367.77642,11177.80544,22358.22826,29682.41435,9431.225981,11578.98327
CTNNB1,27349.51021,30163.19051,29435.88905,22735.77472,24234.36771,22961.21319
PMEL,27310.49759,12845.06389,32891.80788,34992.54207,25218.8557,3503.138566
H3-3A,26651.82206,18238.6823,22172.72217,21436.1371,16698.35847,11011.78958
STMN3,26465.61469,4117.514326,19232.25302,22175.22294,192.9589656,3085.398375
KIF21B,26448.10488,5148.87494,24500.15638,31869.59233,1266.488207,2795.418191
NR6A1,26116.20098,12883.8932,18308.46063,21122.11397,14287.75557,15524.47595
ENO2,26087.67219,6541.157609,18667.56465,28632.61159,5957.202495,5581.606827
KIF5A,26037.04911,3524.024683,16773.58927,27565.71953,516.5836151,899.8928892
SNN,25872.24308,7197.035635,23635.65165,28025.45793,5147.113393,2834.439261
XPR1,25847.16545,7347.785393,18969.04643,28652.16397,5098.629126,3387.711613
ROBO2,25813.5188,3842.383484,14216.90523,25524.07383,420.2258937,505.9751116
HNRNPU,25724.94463,32664.65341,25518.99081,23399.58841,30594.2698,49271.82145
FTH1,25693.76676,26548.5524,18977.76363,24909.60215,31803.05418,10436.38149
NGFR,25612.82703,6332.23706,6235.998151,9154.273556,6205.011624,622.6066101
KIF3C,25592.7626,6278.646479,15050.35631,24844.2713,3030.627995,2830.790291
UBB,25377.32743,23921.60685,25530.21051,24084.87184,21735.33986,16155.02231
ILF3,25359.94595,34593.17808,28766.03123,24934.87549,36825.81432,39358.68221
SHISA6,25346.39738,2392.55347,6036.810018,10856.89359,711.5757908,126.9712239
TMEM132E,25121.11867,3359.769504,6324.900348,11901.58047,11.37334865,23.83711766
ISL1,25114.09872,3196.003204,2232.342951,4546.712329,1.68952914,13.92404728
YWHAB,25109.70241,17627.58786,19419.61053,24428.12599,12755.74986,19825.8169
ACLY,24937.31713,27482.40052,26006.55164,26295.11256,27365.66096,33599.84095
CLASP2,24864.71729,6942.308862,18294.26151,29285.67718,3569.34868,4044.240545
LRP1,24680.08219,27759.56203,19627.01679,24590.80788,23826.59258,14516.63578
NHLH1,24333.71691,4260.645699,27818.97226,29226.02926,18.03929751,21.4666482
CADPS,24239.60672,2995.91371,15751.80224,23494.59824,395.7750403,512.35186
MYH10,24194.66118,49617.7709,27056.60929,29465.7232,31710.72329,33391.7093
SLC38A1,24182.76065,17597.32256,22973.47414,28674.82287,12567.61997,26517.27361
AKAP6,24153.15614,3229.04247,13553.12318,20485.24232,177.8540753,62.59364462
APLP2,24132.60634,43650.0208,18852.57415,21286.97606,39357.85241,22183.68453
SRRM2,23879.89589,28803.70782,33871.51019,28577.40847,39517.01685,32089.7597
GREB1L,23772.32264,12364.55927,28232.78745,29211.60952,10599.73651,148.4957324
SPTBN2,23766.91787,8451.863885,21246.06158,25951.02997,6136.282493,3816.04684
MAP2K6,23742.91045,2789.011344,7730.474682,8873.364246,1547.166622,5713.704237
HNRNPA1,23733.35568,50289.42142,38012.35598,20086.08287,57415.45499,54615.53389
MPRIP,23536.33114,15196.94223,18643.74741,22024.19084,10090.70397,5881.646921
RACK1,23444.9076,37634.1597,21893.91413,15667.36072,38242.33183,52366.5325
PBX1,23443.9552,7051.921944,24899.75752,28410.07245,5091.73579,14080.59184
RPL6,23378.70539,40767.79017,26597.14555,16367.48664,49464.66473,33027.12399
ZMIZ1,23223.80913,8230.597101,17936.66723,23065.21196,5373.851785,3012.343155
PPIA,22853.13585,34414.47111,24760.92657,24512.27052,26339.25707,27795.97404
RNR1,22731.05862,11621.19416,18426.4537,14131.60918,11122.5437,138351.8686
BEX3,22509.47526,15128.33629,16271.98444,18664.12851,17268.62081,12145.88891
ITM2C,22411.00978,12560.6236,12437.20861,10999.62218,9482.110621,14296.59072
MACF1,22294.26885,38712.95111,23336.59605,26970.50196,41100.48003,24632.41298
TLCD3B,22224.91224,3892.652669,16903.57221,17506.16338,1832.901361,813.8209003
SEMA6D,22222.81954,2575.014419,14187.92425,18196.17374,912.6574687,310.5652955
IDS,22033.41518,9085.482823,13683.81579,24632.03277,7804.732189,2257.903838
MYO5A,22022.90714,4964.090235,14076.29635,21204.18631,2220.126042,4040.073457
ZIC2,22000.49093,8235.817436,13559.5749,7483.985426,38403.76601,12937.09714
SET,21946.17496,37498.76699,25990.25766,23577.91427,36943.24377,58467.36873
RUFY3,21909.75747,5992.443818,17071.55215,22234.97733,3346.553053,2384.235901
PAFAH1B1,21882.45474,12401.37356,18327.63223,23293.44238,11170.32908,6904.463739
HSBP1,21849.73685,11130.2272,14071.8453,17199.07745,8784.159777,6630.106972
NCAN,21658.1927,3405.37924,11985.24358,9807.935534,1030.766716,207.4095028
HDAC2,21597.40645,19660.05011,18980.74319,18683.07273,17711.47264,22523.13456
RPL5,21574.12725,40655.0599,24931.83675,14524.82159,45245.06268,52400.36789
TUBB4A,21539.90272,2528.026405,14637.1487,21877.32152,193.2732919,1304.497608
ATP2A2,21522.09605,20532.22443,18453.22486,21108.28191,19203.46588,18365.28355
CKB,21508.04694,16875.30862,18852.85403,20553.19338,5334.529696,13208.29218
NONO,21465.88441,26322.02873,26323.82649,21204.96487,27441.97781,31000.75473
ARID3B,21453.83932,12366.12716,16129.07799,16844.2153,10385.89123,6980.50199
BSG,21291.03393,35210.38174,24625.44766,18859.05737,38213.74046,30189.40209
ACSL4,21204.64689,12656.45112,20694.61704,21058.3364,10401.85429,11900.65411
SPOCK2,21191.86102,3303.270662,14541.13131,17721.98421,229.8402677,114.0582409
MAP6,21177.63123,4534.186214,23160.07588,31392.65709,3316.76913,235.5446303
CASK,21171.66461,10276.29199,19944.77723,26306.24771,8419.836491,8509.993263
ARID1A,21149.64316,15076.10727,17994.94835,19504.45177,14866.65628,14255.65338
RPSA,21140.48632,49845.47769,26248.28672,17708.30122,49829.66502,39739.26051
CPLX2,21082.38127,2801.528215,16247.30443,23763.55108,18.06087884,100.5457183
HNRNPA0,20935.98052,21190.7157,20639.00133,19080.55904,20107.16831,14848.80819
ATCAY,20923.10215,5029.783869,16729.44419,23944.93276,5127.02782,3156.373013
FNBP1L,20907.84909,8066.291419,14965.9821,20165.17785,6496.416154,9436.506836
LINGO1,20904.42057,4717.454988,20092.7627,22393.02397,2759.243361,4253.199523
EPB41,20843.55055,8004.68558,27163.0992,27033.81965,7760.999009,5625.740829
TMBIM6,20791.61698,28993.62781,18948.87367,19404.69623,26385.64229,25099.65965
PJA2,20785.60711,8974.378829,11971.53178,18447.7113,6464.644032,4598.365583
AKAP12,20783.53258,45097.57073,14398.59315,24170.07026,26137.99687,11267.00109
SFPQ,20556.45116,32975.30678,28165.93819,17158.59944,32167.23039,35366.33927
ZNF664,20551.45446,11895.6893,18980.50365,22175.66127,11716.07956,2644.826911
EPHB2,20504.47857,5665.26826,13186.28538,14813.88104,2416.938768,1264.917388
NOVA2,20467.45453,4417.123469,16557.81119,18527.27961,1932.995311,1353.657294
DDB1,20457.51942,19014.01208,17324.50972,17606.60714,17604.3823,20241.91589
NUCKS1,20322.80245,40134.06869,24849.60933,19545.17399,41749.89473,53383.65858
CELSR2,20182.51882,9098.584483,27374.11041,19873.11721,8797.189167,2537.610248
PANK3,20100.97258,13268.25661,15159.17049,18974.70207,14453.75974,10973.34325
MORF4L1,20093.67931,16934.28353,19815.2173,20839.07516,16038.29242,19649.05688
PYGB,20052.94826,9435.088521,12384.72612,21935.27561,4470.218261,3720.538383
PABPC1,19910.32654,64300.01647,26097.52579,12353.15597,85658.41346,101237.2916
PLPPR3,19887.21489,6776.818323,14303.33389,14804.68593,4688.358053,1414.272094
RPS8,19830.28399,36105.97631,23133.0773,13281.12861,42909.77854,42845.97818
OAZ1,19807.52546,24340.67354,17051.2678,17584.53396,19721.43912,17251.63238
NCL,19794.92682,37269.55758,22247.77208,17894.55205,34858.71611,76080.06322
PTN,19727.89032,6709.793849,6025.180181,4277.016009,9357.178251,1023.706911
SEPTIN11,19667.82702,31405.12419,16890.54845,15932.66193,31993.37082,8542.148674
HNRNPC,19620.70911,38718.89599,25133.58441,15346.08584,35109.68282,39541.12194
AP2M1,19619.14539,15708.16852,13939.59003,16477.77007,13557.07683,17313.07598
