"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"41","SEMA6D",5.260216689,7.41e-248,7.41e-248,5.260216689,"SEMA6D","Up"
"42","SEMA6C",3.612594625,1.16e-247,1.16e-247,3.612594625,"SEMA6C","Up"
"43","DUSP4",3.937119643,2.4e-247,2.4e-247,3.937119643,"DUSP4","Up"
"44","KIF11",-5.365975276,1.45e-246,1.45e-246,-5.365975276,"KIF11","Down"
"45","STK26",-5.079836957,3.28e-246,3.28e-246,-5.079836957,"STK26","Down"
"46","CAMTA2",3.479930451,3.66e-246,3.66e-246,3.479930451,"CAMTA2","Up"
"47","ARMT1",-2.627156944,1.22e-245,1.22e-245,-2.627156944,"ARMT1","Down"
"48","DEPDC1B",-5.213040936,6.99e-245,6.99e-245,-5.213040936,"DEPDC1B","Down"
"49","DIAPH2",-5.691631939,4.57e-244,4.57e-244,-5.691631939,"DIAPH2","Down"
"50","CDCA8",-4.870019892,7.64e-244,7.64e-244,-4.870019892,"CDCA8","Down"
"51","ADAMTS1",-5.258207636,1.45e-241,1.45e-241,-5.258207636,"ADAMTS1","Down"
"52","KIF5C",4.184254881,9.2e-239,9.2e-239,4.184254881,"KIF5C","Up"
"53","C19orf12",2.546038943,2.59e-237,2.59e-237,2.546038943,"C19orf12","Up"
"54","CTNND2",3.89323783,6.34e-237,6.34e-237,3.89323783,"CTNND2","Up"
"55","DESI2",-2.196353864,1.04e-236,1.04e-236,-2.196353864,"DESI2","Down"
"56","PPFIA3",2.848644973,1.21e-236,1.21e-236,2.848644973,"PPFIA3","Up"
"57","ARRB1",3.563954804,3.55e-236,3.55e-236,3.563954804,"ARRB1","Up"
"58","TGIF1",-7.438084907,1.73e-233,1.73e-233,-7.438084907,"TGIF1","Down"
"59","OLFML3",-7.441451734,1.23e-230,1.23e-230,-7.441451734,"OLFML3","Down"
"60","USP44",-6.122542699,3.85e-230,3.85e-230,-6.122542699,"USP44","Down"
"61","AURKA",-5.049764666,7.05e-230,7.05e-230,-5.049764666,"AURKA","Down"
"62","RIPOR1",5.182851582,6.04e-229,6.04e-229,5.182851582,"RIPOR1","Up"
"63","B3GNT7",-6.666208315,1.14e-228,1.14e-228,-6.666208315,"B3GNT7","Down"
"64","RCAN1",3.692424208,1.91e-226,1.91e-226,3.692424208,"RCAN1","Up"
"65","TOM1L2",4.94975628,2.51e-226,2.51e-226,4.94975628,"TOM1L2","Up"
"66","ATL1",3.311694854,7.74e-226,7.74e-226,3.311694854,"ATL1","Up"
"67","FLT1",-10.11653089,1.04e-224,1.04e-224,-10.11653089,"FLT1","Down"
"68","GNAZ",3.168922349,4.13e-224,4.13e-224,3.168922349,"GNAZ","Up"
"69","MAP7",-5.100702824,5.54e-224,5.54e-224,-5.100702824,"MAP7","Down"
"70","CYP2S1",-6.352811746,3.64e-223,3.64e-223,-6.352811746,"CYP2S1","Down"
"71","ASTN2",3.001002553,7.25e-223,7.25e-223,3.001002553,"ASTN2","Up"
"72","CDYL",-3.344312047,7.83e-223,7.83e-223,-3.344312047,"CDYL","Down"
"73","SYT4",6.920358045,1.09e-222,1.09e-222,6.920358045,"SYT4","Up"
"74","HPCAL1",5.056781449,1.27e-220,1.27e-220,5.056781449,"HPCAL1","Up"
"75","GAB2",3.702740958,3.36e-220,3.36e-220,3.702740958,"GAB2","Up"
"76","ELAVL3",8.574728279,1.13e-219,1.13e-219,8.574728279,"ELAVL3","Up"
"77","SEMA4F",3.9162521,1.15e-219,1.15e-219,3.9162521,"SEMA4F","Up"
"78","RAD51AP1",-6.258467712,1.88e-219,1.88e-219,-6.258467712,"RAD51AP1","Down"
"79","EARS2",-2.345962972,7.93e-219,7.93e-219,-2.345962972,"EARS2","Down"
"80","RAB9B",5.541036691,2.05e-217,2.05e-217,5.541036691,"RAB9B","Up"
"81","MASTL",-2.779878647,2.63e-217,2.63e-217,-2.779878647,"MASTL","Down"
"82","CALCOCO1",3.696662362,1.29e-216,1.29e-216,3.696662362,"CALCOCO1","Up"
"83","CTNNA2",4.907010084,1.11e-215,1.11e-215,4.907010084,"CTNNA2","Up"
"84","LINC00667",2.528762973,1.27e-214,1.27e-214,2.528762973,"LINC00667","Up"
"85","CCNB1",-4.73785412,4.09e-214,4.09e-214,-4.73785412,"CCNB1","Down"
"86","MAPK4",3.283068602,1.89e-211,1.89e-211,3.283068602,"MAPK4","Up"
"87","DNER",5.023594364,1.19e-210,1.19e-210,5.023594364,"DNER","Up"
"88","CDC6",-5.932185731,2.31e-210,2.31e-210,-5.932185731,"CDC6","Down"
"89","SMIM10L2A",4.390835026,3.37e-210,3.37e-210,4.390835026,"SMIM10L2A","Up"
"90","NASP",-2.994122448,3.53e-207,3.53e-207,-2.994122448,"NASP","Down"
"91","DENND2A",2.982036242,4.6e-207,4.6e-207,2.982036242,"DENND2A","Up"
"92","EBF3",9.808869281,1.9e-204,1.9e-204,9.808869281,"EBF3","Up"
