"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8414","LINC01341",1.488070434,7.43e-05,7.43e-05,1.488070434,"LINC01341","Up"
"8415","LINC01270",-3.686699834,7.43e-05,7.43e-05,-3.686699834,"LINC01270","Down"
"8416","CEP97",0.624069988,7.43e-05,7.43e-05,0.624069988,"CEP97","Up"
"8417","KYAT3",-0.771481257,7.44e-05,7.44e-05,-0.771481257,"KYAT3","Down"
"8418","CXCL2",-4.279673987,7.44e-05,7.44e-05,-4.279673987,"CXCL2","Down"
"8419","SPATS2L",-1.290478408,7.44e-05,7.44e-05,-1.290478408,"SPATS2L","Down"
"8420","MAMSTR",1.178399294,7.46e-05,7.46e-05,1.178399294,"MAMSTR","Up"
"8421","DDX60",-2.137100247,7.47e-05,7.47e-05,-2.137100247,"DDX60","Down"
"8422","SLC26A9",-4.641303205,7.49e-05,7.49e-05,-4.641303205,"SLC26A9","Down"
"8423","ARID5B",1.78098793,7.51e-05,7.51e-05,1.78098793,"ARID5B","Up"
"8424","ITGB2",-3.682117455,7.52e-05,7.52e-05,-3.682117455,"ITGB2","Down"
"8425","MARS2",-0.65458535,7.52e-05,7.52e-05,-0.65458535,"MARS2","Down"
"8426","PRRC1",-0.453482918,7.52e-05,7.52e-05,-0.453482918,"PRRC1","Not Sig"
"8427","UBE2L6",0.624082933,7.54e-05,7.54e-05,0.624082933,"UBE2L6","Up"
"8428","PEX16",0.814979461,7.55e-05,7.55e-05,0.814979461,"PEX16","Up"
"8429","ZNF10",0.490802113,7.55e-05,7.55e-05,0.490802113,"ZNF10","Not Sig"
"8430","KDELR1",-0.71422469,7.62e-05,7.62e-05,-0.71422469,"KDELR1","Down"
"8431","UEVLD",0.601906915,7.63e-05,7.63e-05,0.601906915,"UEVLD","Up"
"8432","MOB3A",0.664963597,7.66e-05,7.66e-05,0.664963597,"MOB3A","Up"
"8433","LINC00963",1.006942054,7.68e-05,7.68e-05,1.006942054,"LINC00963","Up"
"8434","ABALON",0.644606474,7.69e-05,7.69e-05,0.644606474,"ABALON","Up"
"8435","CXADR",0.755599434,7.69e-05,7.69e-05,0.755599434,"CXADR","Up"
"8436","ZNF532",0.480086561,7.7e-05,7.7e-05,0.480086561,"ZNF532","Not Sig"
"8437","PRRT2",1.27536073,7.71e-05,7.71e-05,1.27536073,"PRRT2","Up"
"8438","ALG13",-0.798873519,7.73e-05,7.73e-05,-0.798873519,"ALG13","Down"
"8439","LOC105369344",-2.994997705,7.74e-05,7.74e-05,-2.994997705,"LOC105369344","Down"
"8440","ARNT",-0.5805996,7.75e-05,7.75e-05,-0.5805996,"ARNT","Down"
"8441","LINC01731",3.051342374,7.79e-05,7.79e-05,3.051342374,"LINC01731","Up"
"8442","SSH3",-1.743244305,7.79e-05,7.79e-05,-1.743244305,"SSH3","Down"
"8443","ADI1",-1.430074257,7.82e-05,7.82e-05,-1.430074257,"ADI1","Down"
"8444","FBXO42",0.532914944,7.83e-05,7.83e-05,0.532914944,"FBXO42","Not Sig"
"8445","ZNF507",-0.397702311,7.87e-05,7.87e-05,-0.397702311,"ZNF507","Not Sig"
"8446","ATF6",0.531167837,7.87e-05,7.87e-05,0.531167837,"ATF6","Not Sig"
"8447","DNMT3B",-0.869130682,7.9e-05,7.9e-05,-0.869130682,"DNMT3B","Down"
"8448","ERI1_1",-1.468971005,7.92e-05,7.92e-05,-1.468971005,"ERI1_1","Down"
"8449","WASL-DT",1.019507455,7.93e-05,7.93e-05,1.019507455,"WASL-DT","Up"
"8450","POMT1",0.513743553,7.95e-05,7.95e-05,0.513743553,"POMT1","Not Sig"
"8451","CD99P1_1",-4.498458,7.98e-05,7.98e-05,-4.498458,"CD99P1_1","Down"
"8452","C9orf78",0.60248875,7.98e-05,7.98e-05,0.60248875,"C9orf78","Up"
"8453","BOLA3",-0.973431958,8.01e-05,8.01e-05,-0.973431958,"BOLA3","Down"
"8454","ARID1A",0.507570519,8.02e-05,8.02e-05,0.507570519,"ARID1A","Not Sig"
"8455","BCL11B",-2.487938694,8.02e-05,8.02e-05,-2.487938694,"BCL11B","Down"
"8456","RSKR",-1.400742542,8.04e-05,8.04e-05,-1.400742542,"RSKR","Down"
"8457","LOC107984868",2.388855692,8.06e-05,8.06e-05,2.388855692,"LOC107984868","Up"
"8458","LOC105374925",3.100493923,8.06e-05,8.06e-05,3.100493923,"LOC105374925","Up"
"8459","ARMCX5-GPRASP2",0.774544131,8.08e-05,8.08e-05,0.774544131,"ARMCX5-GPRASP2","Up"
"8460","PKP3",-4.377570354,8.12e-05,8.12e-05,-4.377570354,"PKP3","Down"
"8461","TNFRSF11B",-3.856452616,8.15e-05,8.15e-05,-3.856452616,"TNFRSF11B","Down"
"8462","SLC16A4",-1.743140468,8.17e-05,8.17e-05,-1.743140468,"SLC16A4","Down"
"8463","ZNF600",-1.59755041,8.18e-05,8.18e-05,-1.59755041,"ZNF600","Down"
"8464","LOC107984455",2.177603421,8.18e-05,8.18e-05,2.177603421,"LOC107984455","Up"
"8465","LOC107985095",-4.913795216,8.2e-05,8.2e-05,-4.913795216,"LOC107985095","Down"
"8466","CNEP1R1",-0.410070034,8.21e-05,8.21e-05,-0.410070034,"CNEP1R1","Not Sig"
"8467","ZDHHC1",0.837697026,8.21e-05,8.21e-05,0.837697026,"ZDHHC1","Up"
"8468","AANAT",2.295944364,8.21e-05,8.21e-05,2.295944364,"AANAT","Up"
"8469","F7",-1.616256332,8.23e-05,8.23e-05,-1.616256332,"F7","Down"
"8470","ARRDC3",1.406658203,8.23e-05,8.23e-05,1.406658203,"ARRDC3","Up"
"8471","LOC105375839",2.988803997,8.23e-05,8.23e-05,2.988803997,"LOC105375839","Up"
"8472","LOC105372253",-4.141703771,8.29e-05,8.29e-05,-4.141703771,"LOC105372253","Down"
"8473","TPST1",0.604032472,8.3e-05,8.3e-05,0.604032472,"TPST1","Up"
"8474","FAM200A",0.451265254,8.3e-05,8.3e-05,0.451265254,"FAM200A","Not Sig"
"8475","DCLK3",-2.057131008,8.3e-05,8.3e-05,-2.057131008,"DCLK3","Down"
"8476","SAP130",-0.556982102,8.35e-05,8.35e-05,-0.556982102,"SAP130","Not Sig"
"8477","LOC105374088",-5.32096572,8.48e-05,8.48e-05,-5.32096572,"LOC105374088","Down"
"8478","RBL1",-1.213124605,8.49e-05,8.49e-05,-1.213124605,"RBL1","Down"
"8479","PPM1K",0.647535309,8.5e-05,8.5e-05,0.647535309,"PPM1K","Up"
"8480","IGSF11",-1.508652206,8.52e-05,8.52e-05,-1.508652206,"IGSF11","Down"
"8481","CDK16",0.717850704,8.57e-05,8.57e-05,0.717850704,"CDK16","Up"
"8482","PEAR1",-2.171283443,8.57e-05,8.57e-05,-2.171283443,"PEAR1","Down"
"8483","SLC1A7",3.342411518,8.58e-05,8.58e-05,3.342411518,"SLC1A7","Up"
"8484","ZNF816",-0.708544391,8.59e-05,8.59e-05,-0.708544391,"ZNF816","Down"
"8485","IDUA",-2.330683408,8.61e-05,8.61e-05,-2.330683408,"IDUA","Down"
"8486","LOC105370406",2.976889738,8.62e-05,8.62e-05,2.976889738,"LOC105370406","Up"
"8487","ATXN7",-0.714348373,8.63e-05,8.63e-05,-0.714348373,"ATXN7","Down"
"8488","MINK1",0.790652433,8.64e-05,8.64e-05,0.790652433,"MINK1","Up"
"8489","HS6ST1",1.087361792,8.66e-05,8.66e-05,1.087361792,"HS6ST1","Up"
"8490","FREM1",-1.170796369,8.67e-05,8.67e-05,-1.170796369,"FREM1","Down"
"8491","FSD1",0.485022485,8.67e-05,8.67e-05,0.485022485,"FSD1","Not Sig"
"8492","KIF23-AS1",-3.135980877,8.7e-05,8.7e-05,-3.135980877,"KIF23-AS1","Down"
"8493","CRLF1",-2.224833896,8.72e-05,8.72e-05,-2.224833896,"CRLF1","Down"
"8494","KCTD13",0.818451195,8.75e-05,8.75e-05,0.818451195,"KCTD13","Up"
"8495","ARMC8",0.406288799,8.79e-05,8.79e-05,0.406288799,"ARMC8","Not Sig"
"8496","LOC100507334",-4.639154754,8.82e-05,8.82e-05,-4.639154754,"LOC100507334","Down"
"8497","VCAM1",-2.822243408,8.83e-05,8.83e-05,-2.822243408,"VCAM1","Down"
"8498","RPS19",-1.214022671,8.85e-05,8.85e-05,-1.214022671,"RPS19","Down"
"8499","VPS54",-0.609762502,8.85e-05,8.85e-05,-0.609762502,"VPS54","Down"
"8500","PRR7",-1.302119245,8.86e-05,8.86e-05,-1.302119245,"PRR7","Down"
"8501","SKP1",0.400749658,9.03e-05,9.03e-05,0.400749658,"SKP1","Not Sig"
"8502","LOC105375370",-4.625973967,9.08e-05,9.08e-05,-4.625973967,"LOC105375370","Down"
"8503","ZFAND2A-DT",0.971049597,9.13e-05,9.13e-05,0.971049597,"ZFAND2A-DT","Up"
"8504","CNNM3",0.550388515,9.13e-05,9.13e-05,0.550388515,"CNNM3","Not Sig"
"8505","KPNA4",-0.59601971,9.15e-05,9.15e-05,-0.59601971,"KPNA4","Down"
"8506","ZFYVE16",-0.722900386,9.15e-05,9.15e-05,-0.722900386,"ZFYVE16","Down"
"8507","FBXO24",-1.956794399,9.16e-05,9.16e-05,-1.956794399,"FBXO24","Down"
"8508","C3orf49",2.978911535,9.19e-05,9.19e-05,2.978911535,"C3orf49","Up"
"8509","ESRP2",-4.41019492,9.22e-05,9.22e-05,-4.41019492,"ESRP2","Down"
"8510","CYP7B1",1.238999768,9.22e-05,9.22e-05,1.238999768,"CYP7B1","Up"
"8511","ATAD5",-1.292145758,9.22e-05,9.22e-05,-1.292145758,"ATAD5","Down"
"8512","LOC105373153",4.509453638,9.23e-05,9.23e-05,4.509453638,"LOC105373153","Up"
"8513","GSTO2",-1.055660856,9.27e-05,9.27e-05,-1.055660856,"GSTO2","Down"
"8514","IL25",4.422996242,9.31e-05,9.31e-05,4.422996242,"IL25","Up"
"8515","MESD",-0.496536918,9.32e-05,9.32e-05,-0.496536918,"MESD","Not Sig"
"8516","CREB5",1.479480044,9.37e-05,9.37e-05,1.479480044,"CREB5","Up"
"8517","LOC107985532",-1.475250177,9.43e-05,9.43e-05,-1.475250177,"LOC107985532","Down"
"8518","LDHAL6A",1.658554525,9.43e-05,9.43e-05,1.658554525,"LDHAL6A","Up"
"8519","DLGAP4",0.68524788,9.44e-05,9.44e-05,0.68524788,"DLGAP4","Up"
"8520","PKD2L1",1.316171088,9.44e-05,9.44e-05,1.316171088,"PKD2L1","Up"
"8521","LOC112268272",2.222235521,9.45e-05,9.45e-05,2.222235521,"LOC112268272","Up"
"8522","LOC107985178",4.831926229,9.46e-05,9.46e-05,4.831926229,"LOC107985178","Up"
"8523","MRPL14",-0.890751547,9.47e-05,9.47e-05,-0.890751547,"MRPL14","Down"
"8524","PDCD4",0.689485544,9.49e-05,9.49e-05,0.689485544,"PDCD4","Up"
"8525","GLT6D1",-4.495977357,9.51e-05,9.51e-05,-4.495977357,"GLT6D1","Down"
"8526","ERP27",-5.472097818,9.52e-05,9.52e-05,-5.472097818,"ERP27","Down"
"8527","LOC105369953",2.46627692,9.54e-05,9.54e-05,2.46627692,"LOC105369953","Up"
"8528","CAP2",-0.888325794,9.61e-05,9.61e-05,-0.888325794,"CAP2","Down"
"8529","SAP18",0.395327779,9.68e-05,9.68e-05,0.395327779,"SAP18","Not Sig"
"8530","SNORD12B",-3.189777244,9.7e-05,9.7e-05,-3.189777244,"SNORD12B","Down"
"8531","TLE3",0.643412902,9.7e-05,9.7e-05,0.643412902,"TLE3","Up"
"8532","MGAT2",-0.582587828,9.71e-05,9.71e-05,-0.582587828,"MGAT2","Down"
"8533","FKBP7",0.84331035,9.72e-05,9.72e-05,0.84331035,"FKBP7","Up"
"8534","PRLHR",3.065525183,9.79e-05,9.79e-05,3.065525183,"PRLHR","Up"
"8535","PDXP",0.566797311,9.81e-05,9.81e-05,0.566797311,"PDXP","Not Sig"
"8536","LOC112268058",1.964690175,9.82e-05,9.82e-05,1.964690175,"LOC112268058","Up"
"8537","ADGRL3",1.106811118,9.82e-05,9.82e-05,1.106811118,"ADGRL3","Up"
"8538","SNORA63",-1.251075797,9.88e-05,9.88e-05,-1.251075797,"SNORA63","Down"
"8539","TGFB3",1.581728269,9.88e-05,9.88e-05,1.581728269,"TGFB3","Up"
"8540","LOC105376755",4.658597061,9.89e-05,9.89e-05,4.658597061,"LOC105376755","Up"
"8541","LZTS2",-0.884554125,9.96e-05,9.96e-05,-0.884554125,"LZTS2","Down"
"8542","ZKSCAN3",0.579634242,9.99e-05,9.99e-05,0.579634242,"ZKSCAN3","Not Sig"
"8543","RNF157-AS1",-2.452992506,0.000100007,0.000100007,-2.452992506,"RNF157-AS1","Down"
"8544","CLUL1",1.913905795,0.000100036,0.000100036,1.913905795,"CLUL1","Up"
"8545","MIR4784",2.211445942,0.000100364,0.000100364,2.211445942,"MIR4784","Up"
"8546","LOC105370181",4.085364129,0.000100384,0.000100384,4.085364129,"LOC105370181","Up"
"8547","AVP",3.147792011,0.000100543,0.000100543,3.147792011,"AVP","Up"
"8548","ATP2B4",0.908439007,0.000100887,0.000100887,0.908439007,"ATP2B4","Up"
"8549","KCNJ6-AS1",-4.43019434,0.000100974,0.000100974,-4.43019434,"KCNJ6-AS1","Down"
"8550","ATRX",1.088076707,0.000101121,0.000101121,1.088076707,"ATRX","Up"
"8551","DHH",-2.863479111,0.000101169,0.000101169,-2.863479111,"DHH","Down"
"8552","LOC101929240",2.157124646,0.000101344,0.000101344,2.157124646,"LOC101929240","Up"
"8553","TLE5",1.208477461,0.000101481,0.000101481,1.208477461,"TLE5","Up"
"8554","FAM178B",-4.091694771,0.000101575,0.000101575,-4.091694771,"FAM178B","Down"
"8555","SYVN1",0.658545219,0.000101809,0.000101809,0.658545219,"SYVN1","Up"
"8556","ADD1",0.464071958,0.000101813,0.000101813,0.464071958,"ADD1","Not Sig"
"8557","CHKA",-0.481746376,0.000101831,0.000101831,-0.481746376,"CHKA","Not Sig"
"8558","CAPN10",0.483708986,0.000101884,0.000101884,0.483708986,"CAPN10","Not Sig"
"8559","TACR3",-2.972113135,0.000101989,0.000101989,-2.972113135,"TACR3","Down"
"8560","SNORD62B",-1.671527858,0.000102184,0.000102184,-1.671527858,"SNORD62B","Down"
"8561","GPSM2",-1.098137861,0.000102239,0.000102239,-1.098137861,"GPSM2","Down"
"8562","TAOK1",0.684112508,0.000102247,0.000102247,0.684112508,"TAOK1","Up"
"8563","COX7B",1.088535128,0.000102543,0.000102543,1.088535128,"COX7B","Up"
"8564","MACF1",-0.877669444,0.00010285,0.00010285,-0.877669444,"MACF1","Down"
"8565","HIPK3",0.672108093,0.00010285,0.00010285,0.672108093,"HIPK3","Up"
"8566","LOC105371050",2.714505482,0.00010285,0.00010285,2.714505482,"LOC105371050","Up"
"8567","ZNF586",-0.571014385,0.00010291,0.00010291,-0.571014385,"ZNF586","Not Sig"
"8568","TAMALIN",-2.258472421,0.000102977,0.000102977,-2.258472421,"TAMALIN","Down"
"8569","MAP1LC3B2",0.844793855,0.000103331,0.000103331,0.844793855,"MAP1LC3B2","Up"
"8570","SLC7A7",-1.686656852,0.000103753,0.000103753,-1.686656852,"SLC7A7","Down"
"8571","NAA40",0.459512341,0.000103996,0.000103996,0.459512341,"NAA40","Not Sig"
"8572","LINC00029",3.181052533,0.000104364,0.000104364,3.181052533,"LINC00029","Up"
"8573","FAM166B",-2.53470461,0.000104369,0.000104369,-2.53470461,"FAM166B","Down"
"8574","ZFP64",0.371914923,0.000104369,0.000104369,0.371914923,"ZFP64","Not Sig"
"8575","BNIP5",3.129950852,0.00010464,0.00010464,3.129950852,"BNIP5","Up"
"8576","SPATA32",-3.536982622,0.000104898,0.000104898,-3.536982622,"SPATA32","Down"
"8577","MEAK7",0.600830768,0.000105253,0.000105253,0.600830768,"MEAK7","Up"
"8578","MCM4",-1.392161195,0.000105366,0.000105366,-1.392161195,"MCM4","Down"
"8579","HMGB1",-0.700866348,0.000105712,0.000105712,-0.700866348,"HMGB1","Down"
"8580","PFN2",0.846576526,0.000105868,0.000105868,0.846576526,"PFN2","Up"
"8581","NOS2",-1.527363093,0.000105897,0.000105897,-1.527363093,"NOS2","Down"
"8582","RAB10",0.514690764,0.000105897,0.000105897,0.514690764,"RAB10","Not Sig"
"8583","NKX1-1",3.906014746,0.000105897,0.000105897,3.906014746,"NKX1-1","Up"
"8584","COL3A1",-3.831639169,0.000106093,0.000106093,-3.831639169,"COL3A1","Down"
"8585","UBR2",0.69448213,0.000106564,0.000106564,0.69448213,"UBR2","Up"
"8586","LOC107985400",1.215509459,0.000106659,0.000106659,1.215509459,"LOC107985400","Up"
"8587","M1AP",-2.67900331,0.000106804,0.000106804,-2.67900331,"M1AP","Down"
"8588","ENOPH1",-0.470528135,0.000106814,0.000106814,-0.470528135,"ENOPH1","Not Sig"
"8589","LINC02857",3.398549483,0.000107268,0.000107268,3.398549483,"LINC02857","Up"
"8590","ALDH1A3-AS1",3.2199773,0.000107371,0.000107371,3.2199773,"ALDH1A3-AS1","Up"
"8591","TMEM232",1.628867193,0.00010767,0.00010767,1.628867193,"TMEM232","Up"
"8592","LOC105371017",2.09890122,0.000107725,0.000107725,2.09890122,"LOC105371017","Up"
"8593","EIF5B",-0.575216989,0.000107731,0.000107731,-0.575216989,"EIF5B","Not Sig"
"8594","FBXL4",0.716510484,0.000108082,0.000108082,0.716510484,"FBXL4","Up"
"8595","GKAP1",1.095915312,0.000108459,0.000108459,1.095915312,"GKAP1","Up"
"8596","PTPRD",-0.649835253,0.000108492,0.000108492,-0.649835253,"PTPRD","Down"
"8597","ZNF346",0.461286662,0.000108555,0.000108555,0.461286662,"ZNF346","Not Sig"
"8598","LOC107985115",0.49446935,0.000108588,0.000108588,0.49446935,"LOC107985115","Not Sig"
"8599","EEF2KMT",0.898012275,0.000108721,0.000108721,0.898012275,"EEF2KMT","Up"
"8600","LNCAROD",-5.177264474,0.000108857,0.000108857,-5.177264474,"LNCAROD","Down"
"8601","CALHM4",-4.379103703,0.000109093,0.000109093,-4.379103703,"CALHM4","Down"
"8602","CCDC134",-0.782656464,0.000109093,0.000109093,-0.782656464,"CCDC134","Down"
"8603","LRRC37A2",0.948392082,0.000109093,0.000109093,0.948392082,"LRRC37A2","Up"
"8604","PALS2",-1.09944585,0.000109336,0.000109336,-1.09944585,"PALS2","Down"
"8605","PEF1",-0.511985441,0.000109661,0.000109661,-0.511985441,"PEF1","Not Sig"
"8606","LOC107985876",-3.997307482,0.00010988,0.00010988,-3.997307482,"LOC107985876","Down"
"8607","DGKK",1.33398671,0.0001102,0.0001102,1.33398671,"DGKK","Up"
"8608","LINC02294",4.020308736,0.000110288,0.000110288,4.020308736,"LINC02294","Up"
"8609","MAGOH2P",1.526659995,0.000110389,0.000110389,1.526659995,"MAGOH2P","Up"
"8610","LINC01140",-1.485534926,0.000110637,0.000110637,-1.485534926,"LINC01140","Down"
"8611","CTNNA3",0.909277509,0.000110651,0.000110651,0.909277509,"CTNNA3","Up"
"8612","CCDC144NL",-1.123113944,0.000110687,0.000110687,-1.123113944,"CCDC144NL","Down"
"8613","MIPEP",-0.760299833,0.000111038,0.000111038,-0.760299833,"MIPEP","Down"
"8614","LOC100132154",3.868380752,0.000111038,0.000111038,3.868380752,"LOC100132154","Up"
"8615","AIPL1",2.594682455,0.000111305,0.000111305,2.594682455,"AIPL1","Up"
"8616","EED",-0.653222497,0.000111784,0.000111784,-0.653222497,"EED","Down"
"8617","CCT8",-0.493821689,0.00011187,0.00011187,-0.493821689,"CCT8","Not Sig"
"8618","SNHG25",-2.917482205,0.000112812,0.000112812,-2.917482205,"SNHG25","Down"
"8619","SCAND2P",1.085253708,0.000114177,0.000114177,1.085253708,"SCAND2P","Up"
"8620","TUBB8",-2.528878223,0.000114392,0.000114392,-2.528878223,"TUBB8","Down"
"8621","USP49",-0.824179299,0.000115099,0.000115099,-0.824179299,"USP49","Down"
"8622","SEL1L",0.581793625,0.000115516,0.000115516,0.581793625,"SEL1L","Up"
"8623","MEPCE",-0.829494958,0.000116036,0.000116036,-0.829494958,"MEPCE","Down"
"8624","B4GALT1-AS1",2.297870675,0.000116257,0.000116257,2.297870675,"B4GALT1-AS1","Up"
"8625","LOC112268411",-1.077618021,0.000116353,0.000116353,-1.077618021,"LOC112268411","Down"
"8626","LOC102724553",4.105434154,0.000116477,0.000116477,4.105434154,"LOC102724553","Up"
"8627","LINC01213",-4.592135518,0.000116525,0.000116525,-4.592135518,"LINC01213","Down"
"8628","TAT",-3.303522272,0.000117219,0.000117219,-3.303522272,"TAT","Down"
"8629","C1orf109",-0.576458319,0.000117265,0.000117265,-0.576458319,"C1orf109","Not Sig"
"8630","CTSS",2.887785472,0.000117646,0.000117646,2.887785472,"CTSS","Up"
"8631","RAVER2",-0.691688747,0.000117681,0.000117681,-0.691688747,"RAVER2","Down"
"8632","NUP107",-0.793535839,0.000117787,0.000117787,-0.793535839,"NUP107","Down"
"8633","ZBTB8B",0.927633832,0.000118383,0.000118383,0.927633832,"ZBTB8B","Up"
"8634","CHPF2",-0.61619477,0.000118581,0.000118581,-0.61619477,"CHPF2","Down"
